id,University
1,Universidade Federal de Lavras
2,East Africa University Bosaso
3,Silliman University
4,Université Montesquieu (Bordeaux IV)
5,St. Petersburg Institute of Sales Management and Economics
6,Atlantic University
7,Universidade Camilo Castelo Branco
8,Mount Mercy College
9,Green Mountain College
10,"Federal University of Technology, Akure"
11,"Islamic Azad University, Hamedan"
12,Universidade Federal de Juiz de Fora
13,Ecole Nationale Supérieure de Chimie de Paris
14,Instituto Universitario de Estudios Navales y Marítimos
15,Palestine Technical University - Kadoorie
16,Walla Walla College
17,California Coast University
18,Danish Business Academy
19,European University Institute
20,Simpson College Iowa
21,Skadron College
22,Universidad Nacional Autonoma de Nicaragua
23,Tufts University
24,University of Geneva
25,Universidad Libre de Colombia
26,Malmö University College
27,Shenyang Polytechnic University
28,Lagos State University
29,Universidad Carlos III de Madrid
30,Volyn National University Lesja Ukrainka
31,European University Institute
32,Technische Universität Graz
33,"Bauchi State University, Gadau"
34,Nugaal University
35,Amrita Vishwa Vidyapeetham (Deemed University)
36,Grand Valley State University
37,Université Chouaib Doukkali
38,King College
39,Universidad Austral Buenos Aires
40,Vanderbilt University
41,Universitas Jember
42,University of Southern Philippines Foundation
43,"University of Maine, Fort Kent"
44,Seoul City University
45,Western Kazakhstan Agricultural University
46,Banking University of Ho Chi Minh City
47,Berea College
48,"DeVry Institute of Technology, Kansas City"
49,Prague Institute of Chemical Technology
50,High Point University
51,University of Surrey
52,University of the South Pacific
53,Tzu Chi College of Medicine and Humanities
54,Pázmány Péter Catholic University
55,Hebei Normal University
56,University of Central Arkansas
57,Our Lady of Fatima University
58,Widener University
59,Ashland University
60,Florida University of Medicine
61,"Institut National de la Recherche Scientifique, Université du Québec"
62,University of Groningen
63,American University of Middle East
64,Mashhad University of Medical Sciences
65,Universidade de Lisboa
66,Dalhousie University
67,University of Victoria
68,Baker College of Auburn Hills
69,Toccoa Falls College
70,International Islamic University Chittagong
71,Balkh University
72,Atlanta College of Art
73,Suleyman Demirel University
74,Mayville State University
75,Ilam University
76,Sree Sankaracharya University of Sanskrit
77,Aarhus Technical College
78,Universidad Centro Occidental Lisandro Alvarado
79,Sylhet International University
80,Montana Tech
81,London Business School
82,United States Coast Guard Academy
83,University of Oradea
84,The CTL Eurocollege
85,Dong-A University
86,Yunnan Agriculture University
87,"Instituto Superior Minero Metalúrgico ""Dr. Antonio Núñez Jiménez"""
88,Georgetown University
89,Tainan National College of the Arts
90,"St. Francis College, Loretto"
91,University of Calgary
92,State University of New York at Buffalo
93,Jordan Academy of Music / Higher Institute of Music
94,Baghyatoolah Medical Sciences University
95,Universidade de Guarulhos
96,Baghlan University
97,University of Pecs
98,"Royal Free Hospital School of Medicine, University of London"
99,Institute of Industrial Electronics Engineering
100,Nairobi Technical Training Institute 
